answer	qid
The Bull only	fables-02-2
annually	blogs-01-1
a police car	blogs-01-4
Kristin	mc500.train.0.3
at a police	blogs-01-9
things tear bean	blogs-01-12
because the lion feared sharp every horn of the bull	fables-02-10
swimming	mc500.train.0.8
to the beach	mc500.train.0.4
the bull	fables-02-11
a fat Bull feeding in a meadow	fables-02-1
the cheese	fables-01-4
to a restaurant	mc500.train.0.11
the bull	fables-02-9
on a branch of a tree with a piece of cheese in her beak	fables-01-1
The people	blogs-01-8
at Ellen 's house	mc500.train.0.12
because they were tired	mc500.train.0.6
a mouth and a lion	fables-02-7
Police	blogs-01-10
things	blogs-01-11
the fox	fables-01-7
The people	blogs-01-6
The people	blogs-01-7
A lion	fables-02-5
head	fables-02-3
a fox and a her	fables-01-3
	blogs-01-3
g20 summit	blogs-01-2
The girls	mc500.train.0.7
the bull	fables-02-6
to visit some friends	mc500.train.0.1
things	blogs-01-13
soup	mc500.train.0.10
The people	blogs-01-5
 spend time friends .	mc500.train.0.5
 restaurant 's special .	mc500.train.0.9
a crow	fables-01-6
the cheese	fables-01-2
The lion	fables-02-4
under the tree	fables-01-5
a salad	mc500.train.0.2
The Bull	fables-02-8
