answer	qid
A young man	blogs-02-8
outside the window	mc500.train.23.4
because the lion feared sharp every horn of the bull	fables-02-10
We	blogs-04-14
A Fox	fables-04-9
The stork	fables-04-10
from the drinking vessel	fables-03-7
The eagle	fables-03-5
the fox	fables-01-7
a man and a neck	blogs-02-10
The elephant	mc500.train.23.15
The elephant	mc500.train.23.18
She	mc500.train.18.10
Eagle	fables-03-21
her mother	mc500.train.18.16
all day .	mc500.train.23.6
because he was n't able to reach some food that was in the pitcher	fables-04-6
I the	blogs-02-7
in town	mc500.train.23.8
under the tree	fables-01-5
The squirrel 's paw	blogs-04-3
to the house of the parent of the narrator	blogs-03-9
in Louisiana	blogs-03-5
The squirrel	blogs-04-2
in the bowl	blogs-04-4
in the drinking vessel	fables-03-6
a Fox	fables-01-10
by Hurricane Gustav	blogs-03-1
on a branch of a tree with a piece of cheese in her beak	fables-01-1
at a police	blogs-01-9
On the front	mc500.train.23.5
Andrew and his dad	mc500.train.23.22
who	fables-03-15
the story	mc500.train.23.7
After Kelly collected all of the flowers	mc500.train.18.20
annually	blogs-01-1
The people	blogs-01-6
President Bush	blogs-03-4
of the flowers with string	mc500.train.18.1
a bull and a mouth	fables-02-7
Police	blogs-01-10
The red ones	mc500.train.18.13
camera	blogs-04-7
some soup	fables-04-5
A countryman witness	fables-03-18
because every horn of the bull was ugly	fables-02-16
the house of the narrator	blogs-02-5
A fox	fables-01-11
the newspaper	mc500.train.23.20
The people	blogs-01-7
the red ones	mc500.train.18.4
Kristin	mc500.train.0.3
The every horn	fables-02-15
the cheese	fables-01-4
to a store named Home Depot in order to purchase a portable generator	blogs-03-6
swimming	mc500.train.0.8
no	mc500.train.23.9
a fox and a stork	fables-04-4
A lion	fables-02-13
The Bull	fables-02-8
at the circus	mc500.train.23.13
a Stork	fables-04-1
on the front yard of a narrator	blogs-02-14
into the long and narrow neck of the pitcher	fables-04-11
a drinking vessel	fables-03-17
 spend time friends .	mc500.train.0.5
alyssa	mc500.train.0.13
because they were tired	mc500.train.0.6
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.21
yes	mc500.train.0.15
of the crow	fables-01-9
in his talons	fables-03-13
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.9
the bull	fables-02-11
g20 summit	blogs-01-2
She	mc500.train.18.19
the cheese	fables-01-2
The narrator	blogs-03-10
on the deck in order for Benjamin	blogs-04-10
The eagle	fables-03-8
the young man	blogs-02-6
things	blogs-01-11
Saturday afternoon	mc500.train.23.1
The countryman	fables-03-9
a fat Bull feeding in a meadow	fables-02-1
head	fables-02-3
in a secret spot	mc500.train.18.8
I	mc500.train.23.16
a large group of pine trees	blogs-03-7
the flowers	mc500.train.18.18
to a restaurant	mc500.train.0.11
some bright flash	blogs-02-12
a young died	blogs-02-13
The fox	fables-04-12
loudly	fables-01-13
because it disagreed about a view	blogs-01-16
red favorite the	mc500.train.18.15
Squirrels	blogs-04-5
to drink the bowl 's water	blogs-04-12
to the circus	mc500.train.23.14
the narrator began to wonder that the flash was an orb	blogs-02-11
a police car	blogs-01-4
a crow	fables-01-6
outside	mc500.train.18.11
in a flat and large dish	fables-04-13
A who	fables-03-4
outside the window	mc500.train.23.3
A Lion	fables-02-12
on the spot of the yard of the narrator	blogs-02-2
The people	blogs-01-5
a eagle and a it	fables-03-1
The storm	blogs-03-2
her	mc500.train.18.7
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.12
them	mc500.train.18.3
An area of a neighborhood of the narrator	blogs-03-11
one morning	mc500.train.18.2
to alleviate the violence	blogs-01-18
the bull	fables-02-9
to her back yard	mc500.train.18.5
of the bull	fables-02-18
things	blogs-01-13
to the beach	mc500.train.0.4
the cheese	fables-01-8
to visit some friends	mc500.train.0.1
in his talons	fables-03-3
man	fables-03-11
The narrator	blogs-02-9
A young man	blogs-02-15
wife	blogs-03-15
in the newspaper	mc500.train.23.17
at Ellen 's house	mc500.train.0.12
because it owned a group of trees	blogs-03-8
I	blogs-04-6
The eagle	fables-03-20
A who	fables-03-16
encounter	fables-03-10
A lion	fables-02-5
The Bull only	fables-02-2
to wait	blogs-04-13
a fox	fables-04-2
The narrator	blogs-03-13
for for it it was was him him to to reach reach contents contents	fables-04-8
a cheese and a fox	fables-01-3
The eagle	fables-03-19
soup	mc500.train.0.10
yes	mc500.train.0.16
The tree	blogs-03-12
to her back yard	mc500.train.18.14
The girls	mc500.train.0.7
The squirrel	blogs-04-1
The lion	fables-02-4
that equal queen	fables-01-12
the bull	fables-02-17
the bull	fables-02-6
The police	blogs-01-14
The people and animals at the circus	mc500.train.23.11
in a flat and large dish	fables-04-3
lots of tricks	mc500.train.23.19
his goldfish some goldfish food	mc500.train.23.10
The eagle	fables-03-14
things tear bean	blogs-01-12
	blogs-01-3
their	blogs-01-15
all of the flowers	mc500.train.18.6
 restaurant 's special .	mc500.train.0.9
winds	blogs-03-3
to the circus	mc500.train.23.21
a salad	mc500.train.0.2
into the long and narrow neck of the pitcher	fables-04-7
fun	mc500.train.0.14
some of his poison	fables-03-12
riot	blogs-01-17
them	mc500.train.18.17
over the deck 's railing	blogs-04-11
An Eagle	fables-03-2
lots of peanuts	mc500.train.23.12
on the house of the narrator of the narrator of the narrator	blogs-03-14
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
He	mc500.train.23.2
The people	blogs-01-8
The young man	blogs-02-1
because the lion feared sharp every horn of the bull	fables-02-14
many birds	blogs-04-8
when I was the place where he died I	blogs-02-3
The narrator	blogs-02-16
on the railing	blogs-04-9
